location,BUK,BUK Registrace,BUK guest,Buben 2.4G,O2-Internet_9D7,Simon,iPhone (Артём)
third_right_kitchen,unset,-60.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,-87.0,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-45.0
third_right_kitchen,unset,unset,-82.0,unset,unset,unset,unset
third_right_kitchen,-62.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-78.0,unset
third_right_kitchen,unset,unset,unset,-62.0,unset,unset,unset
third_right_kitchen,unset,-68.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,-80.0,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-44.0
third_right_kitchen,unset,-67.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-78.0,unset
third_right_kitchen,unset,unset,-78.0,unset,unset,unset,unset
third_right_kitchen,-67.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-32.0
third_right_kitchen,unset,unset,unset,-78.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,-86.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-74.0,unset
third_right_kitchen,unset,unset,-48.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-29.0
third_right_kitchen,unset,-68.0,unset,unset,unset,unset,unset
third_right_kitchen,-48.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,-66.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-77.0,unset
third_right_kitchen,unset,unset,-66.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-38.0
third_right_kitchen,-69.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-66.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,-61.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-73.0,unset
third_right_kitchen,unset,unset,-66.0,unset,unset,unset,unset
third_right_kitchen,-77.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-78.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-42.0
third_right_kitchen,unset,unset,-78.0,unset,unset,unset,unset
