location,Internet_BEF1,iPhone (Артём),BUK,UPC931A3F3,Buben 2.4G,BUK guest,BUK Registrace
room,,"[-28, 'c2:21:c9:ab:21:c9']",,,,,
room,,,,,,,"[-72, 'f0:b0:52:78:5b:a8']"
room,,,,"[-81, '54:67:51:9d:9e:b4']",,,
room,,"[-29, 'c2:21:c9:ab:21:c9']",,,,,
room,,,,,,"[-70, '58:b6:33:9d:df:58']",
room,,,,,"[-69, '58:b6:33:dd:df:58']",,
room,"[-77, '7c:77:16:2f:be:f1']",,,,,,
room,,,,,,,"[-71, '58:b6:33:5d:df:58']"
room,,,"[-68, '58:b6:33:1d:df:58']",,,,
room,,,,,,"[-71, '58:b6:33:9d:df:58']",
room,,,,,"[-73, '58:b6:33:dd:df:58']",,
room,,,"[-77, 'f0:b0:52:38:5b:a8']",,,,
room,,,,,,,"[-72, '58:b6:33:5d:df:58']"
room,,"[-29, 'c2:21:c9:ab:21:c9']",,,,,
room,,,,,"[-76, 'f0:b0:52:b8:5b:a8']",
room,,,"[-72, 'f0:b0:52:f8:5b:a8']",,,
room,,"[-71, '58:b6:33:1d:df:58']",,,,
room,,,,,,"[-73, 'f0:b0:52:78:5b:a8']"
room,"[-29, 'c2:21:c9:ab:21:c9']",,,,,
room,,,,"[-84, '54:67:51:9d:9e:b4']",,
room,,"[-71, 'f0:b0:52:38:5b:a8']",,,,
room,,,"[-72, '58:b6:33:dd:df:58']",,,
room,"[-27, 'c2:21:c9:ab:21:c9']",,,,,
room,,,,,"[-73, 'f0:b0:52:b8:5b:a8']",
room,,,"[-73, 'f0:b0:52:f8:5b:a8']",,,
room,"[-31, 'c2:21:c9:ab:21:c9']",,,,,
room,,,,,,"[-72, 'f0:b0:52:78:5b:a8']"
room,,"[-72, '58:b6:33:1d:df:58']",,,,
room,,,"[-85, '54:67:51:9d:9e:b4']",,,
room,,,,,"[-71, '58:b6:33:9d:df:58']",
room,,,,"[-70, '58:b6:33:dd:df:58']",,
room,"[-28, 'c2:21:c9:ab:21:c9']",,,,,
room,,"[-72, '58:b6:33:1d:df:58']",,,,
room,,,,,,"[-70, '58:b6:33:5d:df:58']"
room,"[-29, 'c2:21:c9:ab:21:c9']",,,,,
room,,,,,"[-66, '38:ff:36:aa:93:d8']",
room,,,,"[-66, '38:ff:36:ea:93:d8']",,
room,,"[-70, '58:b6:33:1d:df:58']",,,,
room,,,,,,"[-68, '58:b6:33:5d:df:58']"
room,"[-31, 'c2:21:c9:ab:21:c9']",,,,,
room,,,,,"[-70, '58:b6:33:9d:df:58']",
room,,,,"[-71, '58:b6:33:dd:df:58']",,
room,,,"[-70, 'f0:b0:52:38:5b:a8']",,,
room,,"[-28, 'c2:21:c9:ab:21:c9']",,,,
room,,,,,,"[-70, '58:b6:33:5d:df:58']"
room,,,,,"[-80, '58:b6:33:9d:85:48']",
room,,,,"[-81, '58:b6:33:dd:85:48']",,
room,,,"[-64, '38:ff:36:2a:93:d8']",,,
room,,,,,,"[-67, '38:ff:36:6a:93:d8']"
room,,"[-30, 'c2:21:c9:ab:21:c9']",,,,
room,,,,,"[-82, '58:b6:33:9d:85:48']",
room,,,,"[-67, '38:ff:36:ea:93:d8']",,
room,,,"[-84, '58:b6:33:1d:85:48']",,,
room,,,,,,"[-75, '58:b6:33:5d:85:a8']"
room,,"[-29, 'c2:21:c9:ab:21:c9']",,,,
room,,"[-30, 'c2:21:c9:ab:21:c9']",,,,
room,,,,,"[-71, '58:b6:33:9d:df:58']",
room,,,,,,"[-70, '58:b6:33:5d:df:58']"
room,"[-79, '7c:77:16:2f:be:f1']",,,,,
room,,"[-73, '58:b6:33:1d:df:58']",,,,,
room,,,"[-67, '38:ff:36:ea:93:d8']",,,,
room,,,,"[-77, '54:67:51:9d:9e:b4']",,,
room,,"[-71, 'f0:b0:52:38:5b:a8']",,,,,
room,,,,,"[-71, 'f0:b0:52:b8:5b:a8']",,
room,,,"[-69, '58:b6:33:dd:df:58']",,,,
room,,,,"[-83, '54:67:51:9d:9e:b4']",,,
room,,,,,,,"[-70, '58:b6:33:5d:df:58']"
room,"[-29, 'c2:21:c9:ab:21:c9']",,,,,,
room,,,,,"[-72, '58:b6:33:9d:df:58']",,
room,,,"[-71, '58:b6:33:dd:df:58']",,,,
room,,"[-73, '58:b6:33:1d:df:58']",,,,,
room,,,,,,,"[-71, '58:b6:33:5d:df:58']"
room,"[-29, 'c2:21:c9:ab:21:c9']",,,,,,
room,"[-32, 'c2:21:c9:ab:21:c9']",,,,,,
room,,,,,"[-71, '58:b6:33:9d:df:58']",,
